key,zh_CN,en
"MENU_SUBTITLE","中文社卡牌RPG - 测试版","CCFT Card RPG - Test Version"
"MENU_START","开始游戏","Start Game"
"MENU_QUIT","退出","Quit"
"MENU_SETTINGS","设置","Settings"
"MENU_LANGUAGE","语言","Language"
"MENU_LOAD_SAVE","加载存档","Load Save"

"SAVE_START_TITLE","选择存档","Choose Your File"
"SAVE_START_SUBTITLE","选择一个空存档开始新游戏","Choose an empty slot to start a new game"
"SAVE_LOAD_TITLE","加载存档","Load Save"
"SAVE_LOAD_SUBTITLE","选择已有存档进入游戏，或删除不需要的存档","Choose an existing save to enter the game, or delete a save you no longer need"
"SAVE_EMPTY_SLOT","存档 %d：空","File %d: Empty"
"SAVE_SLOT_SUMMARY","存档 %d：当前 %s｜角色 %d｜%s","File %d: Current %s | Characters %d | %s"
"SAVE_NEW","新建","New"
"SAVE_LOAD","加载","Load"
"SAVE_DELETE","删除","Delete"
"SAVE_USED","已有存档","Used"
"SAVE_DELETE_TITLE","删除存档","Delete Save File"
"SAVE_DELETE_CONFIRM","确定删除存档 %d 吗？","Delete save file %d?"

"LANGUAGE_ZH_CN","中文","Chinese"
"LANGUAGE_EN","English","English"

"SETTINGS_TITLE","设置","Settings"
"SETTINGS_DEVELOPER_MODE","开发者模式","Developer Mode"
"SETTINGS_DEVELOPER_DESCRIPTION","启用后，战斗中会显示测试工具。","Shows testing tools during battle when enabled."

"MAP_BACK","返回","Back"
"MAP_1_NAME","地图 1","Map 1"
"MAP_NO_MAPS","没有可用的地图","No maps are available"

"LEVEL_1_NAME","F1 - 谈话室","F1 - Conversation Room"
"LEVEL_1_DESCRIPTION","βudding，很高兴见到你！但是怎么解决这个东西...","Nice to meet you, βudding! But, how do we deal with this..."
"LEVEL_2_NAME","F1 - 高三一班","F1 - S3C1"
"LEVEL_2_DESCRIPTION","里面看起来有一只...包子？","Is that...a bun?"
"LEVEL_3_NAME","F1 - 高三二班","F1 - S3C2"
"LEVEL_3_DESCRIPTION","高三二班——二是两只一起来的意思吗？","S3C2——Does the 2 mean 2 monsters?"
"LEVEL_4_NAME","F1 - 高三三班","F1 - S3C3"
"LEVEL_4_DESCRIPTION","好大的怪物...还好天才兔加入了我们","That one is HUGE...At least we have Dr. Rabbert now"


"PREP_LEVEL_FORMAT","第 %s 关","Level %s"
"PREP_WAVE_COUNT","波数：%d","Waves: %d"
"PREP_EMPTY_SLOT","选择角色","Choose Character"
"PREP_START_LEVEL","进入关卡","Start Level"

"DEV_TITLE","开发者工具","Developer Tools"
"DEV_ADD_CULTURE_MASK","添加一只文化面具","Add Culture Mask"
"DEV_ADD_GENERAL_CARD","添加孔子药水","Add Potion of Confucius"
"DEV_ADD_SIX_SEVEN","添加 Six Seven","Add Six Seven"
"DEV_CLEAR_ENEMIES","清空敌方","Clear Enemies"
"DEV_DEFEAT_PLAYERS","全员阵亡","Defeat Team"
"DEV_SKIP_TURN","跳过本回合","Skip Turn"
"DEV_LOG_ADDED_MASK","开发者：添加了一只文化面具。","Developer: added a Culture Mask."
"DEV_LOG_ADDED_CARD","开发者：添加了一张孔子药水。","Developer: added a Potion of Confucius card."
"DEV_LOG_ADDED_SIX_SEVEN","彩蛋：获得了一张 Six Seven。","Secret: received a Six Seven card."
"DEV_LOG_ENEMY_LIMIT","开发者：场上最多允许 8 只存活怪物。","Developer: no more than 8 living enemies are allowed."
"DEV_LOG_CLEARED_ENEMIES","开发者：清空了当前敌方单位。","Developer: cleared current enemies."
"DEV_LOG_DEFEATED_PLAYERS","开发者：我方全员阵亡。","Developer: defeated the team."
"DEV_LOG_SKIPPED_TURN","开发者：跳过了当前玩家回合。","Developer: skipped the current player turn."

"UI_SHOP","商店","Shop"
"UI_LOG","日志","Log"
"UI_CANCEL","取消","Cancel"
"UI_CONTINUE","继续","Continue"
"UI_RETRY","重新挑战","Retry"
"UI_MAIN_MENU","回主菜单","Main Menu"
"UI_CLOSE","关闭","Close"
"UI_BUY","购买","Buy"
"UI_SELL","出售","Sell"
"UI_REFRESH","刷新 -0.5","Refresh -0.5"
"UI_SHOP_HINT","购买后加入队伍通用卡牌。","Purchased cards are added to the team's shared cards."
"UI_PRICE_FORMAT","%.1f TOEFL","%.1f TOEFL"
"UI_BALANCE_FORMAT","TOEFL %s","TOEFL %s"

"LOG_CARD_SOLD","出售了 %s，获得 %.2f New TOEFL。","Sold %s for %.2f New TOEFL."
"LOG_REFRESH_NO_FUNDS","New TOEFL 不足，无法刷新商店。","Not enough New TOEFL to refresh the shop."
"LOG_SHOP_REFRESHED","花费 0.5 New TOEFL 刷新商店。","Spent 0.5 New TOEFL to refresh the shop."
"LOG_BUY_INVALID_CHARACTER","无法给无法行动的角色购买卡牌。","Cards cannot be purchased for a character who cannot act."
"LOG_BUY_NO_FUNDS","New TOEFL 不足，无法购买 %s。","Not enough New TOEFL to purchase %s."
"LOG_CARD_PURCHASED","购买 %s，花费 %.1f New TOEFL","Purchased %s for %.1f New TOEFL."
"LOG_TEAM_GAIN_AP","获得 %.2f AP。","Gained %.2f AP."
"LOG_DEFENSE_GRANTED","%s 为 %s 提供 %.0f%% 本回合减伤。","%s granted %s %.0f%% damage reduction this turn."
"LOG_AP_CLEARED","队伍 AP 清零。","Team AP was reset."
"LOG_ATTACK_DAMAGE","%s 对 %s 造成 %d 伤害。","%s dealt damage to %s: %d."
"LOG_CURRENT_HP_DAMAGE","%s 命中 %s：当前生命 %d，取 %.0f%% 得到 %d 点基础伤害，最终造成 %d 伤害。","%s hit %s: current HP %d, %.0f%% gives %d base damage, dealing %d final damage."
"LOG_ALLY_EFFECT_APPLIED","%s 对 %s 施加了 %s。","%s applied an effect to %s: %s."
"LOG_ENEMY_EFFECT_APPLIED","%s 对 %s 施加了 %s。","%s applied an effect to %s: %s."
"LOG_MAX_HP_HEAL","%s 为 %s 回复了 %d 点生命。","%s restored %s for %d HP."
"LOG_ENEMY_STUNNED","%s 处于眩晕状态，跳过本次行动。","%s is stunned and skips this action."
"LOG_DAMAGE_IMMUNED","%s 的伤害免疫生效，完全抵挡了 %s 的攻击。","%s's damage immunity completely blocked %s's attack."
"LOG_EFFECT_SWALLOWED","%s 对 %s 没有产生新的效果。","%s produced no new effect on %s."
"LOG_GALL_NO_EFFECT","%s 正处于虚弱阶段，重复使用卧薪尝胆没有效果。","%s is in the weakness phase; another Gall of Goujian has no effect."
"LOG_GALL_STRENGTH_REFRESHED","%s 的力量阶段重置为 2 回合。","%s's strength phase was reset to 2 turns."
"LOG_GALL_APPLIED","%s 进入卧薪尝胆状态。","%s entered the Gall of Goujian sequence."
"LOG_DUAL_EFFECT_APPLIED","%s 的两段效果已施加给 %s。","Both effects of %s were applied to %s."
"LOG_DIRECT_HP_LOSS","%s 使 %s 直接失去 %d 点生命。","%s directly removed %d HP from %s."
"LOG_SKILL_HIT_ALL","%s 的技能击中 %s，造成 %d 伤害。","%s's skill hit %s for %d damage."
"LOG_SKILL_HIT_ONE","%s 的技能对 %s 造成 %d 伤害。","%s's skill dealt damage to %s: %d."
"LOG_ENEMY_TURN_START","敌方回合开始。","Enemy turn started."
"LOG_ENEMY_ATTACK","%s 攻击 %s，造成 %d 伤害。","%s attacked %s for %d damage."
"LOG_ENEMY_GROUP_ATTACK","%s 对全体发起攻击，命中 %s 并造成 %d 伤害。","%s launched a group attack, hitting %s for %d damage."
"LOG_ENEMY_SHIELD_ALL","%s 为全体存活敌人增加 %d 点护盾。","%s granted %d shield to all living enemies."
"LOG_NEXT_PLAYER_TURN","玩家回合 %d：请选择尚未行动的角色。","Player turn %d: choose a character who has not acted."
"LOG_NIAN_WEAKENING_STRIKE","%s 震吼 %s，施加 30%% 虚弱并造成 %d 伤害。","%s roared at %s, applying 30%% Weakness and dealing %d damage."
"LOG_NIAN_CHARGE_START","%s 开始蓄力，锁定目标：%s。","%s began charging and locked onto %s."
"LOG_NIAN_CHARGING","%s 正在蓄力，目标仍是 %s，剩余 %d 轮。","%s is charging. Target remains %s. %d turns left."
"LOG_NIAN_CHARGE_RELEASE","%s 释放蓄力攻击，命中 %s 并造成 %d 伤害。","%s released its charged attack, hitting %s for %d damage."
"LOG_NIAN_CHARGE_TARGET_LOST","%s 的蓄力目标 %s 已无法被攻击，蓄力消散。","%s lost its charged target %s, and the charge faded."
"LOG_BATTLE_START","战斗开始","Battle started"
"LOG_WAVE_START","第 %d/%d 波开始。","Wave %d/%d started."
"LOG_PLAYER_TURN_START","玩家回合 %d：请选择角色和卡牌。","Player turn %d: choose a character and a card."
"LOG_CANNOT_USE_CARD","现在不能使用卡牌。","Cards cannot be used right now."
"LOG_CHARACTER_UNAVAILABLE","%s 已无法行动。","%s can no longer act."
"LOG_CHARACTER_ACTED","%s 本回合已经行动过。","%s has already acted this turn."
"LOG_CARD_AP_REQUIRED","%s 需要 AP ≥ %.1f。","%s requires AP ≥ %.1f."
"LOG_NO_ENEMY_TARGET","没有可攻击的敌人。","There are no enemies to attack."
"LOG_SELECT_ALLY_TARGET","请选择一名我方角色作为防御目标。","Choose an allied character as the defense target."
"LOG_CARD_QUESTION","%s 使用 %s，需要回答%s题。","%s used %s and must answer a %s question."
"LOG_EFFECT_APPLIED","%s 对 %s 施加了 %s，持续 %d 回合。","%s applied an effect to %s: %s for %d turns."
"LOG_ENEMY_REWARD","击败 %s，获得 %.1f New TOEFL。","Defeated %s and gained %.1f New TOEFL."
"LOG_ENEMY_CARD_DROP","击败 %s，随机获得通用卡牌：%s。","Defeated %s and received a random general card: %s."

"PHASE_READY","准备","Ready"
"PHASE_PLAYER","玩家回合","Player Turn"
"PHASE_DIFFICULTY","选择难度","Choose Difficulty"
"PHASE_QUESTION","答题中","Answering"
"PHASE_ENEMY","敌方回合","Enemy Turn"
"PHASE_VICTORY","胜利","Victory"
"PHASE_DEFEAT","失败","Defeat"

"ROUND_FORMAT","第 %d 回合","Round %d"
"WAVE_FORMAT","波次 %d/%d","Wave %d/%d"
"DIFFICULTY_EASY","简单","Easy"
"DIFFICULTY_MEDIUM","中等","Medium"
"DIFFICULTY_HARD","困难","Hard"
"QUESTION_SELECT_DIFFICULTY","选择题目难度","Choose Question Difficulty"
"ATTRIBUTE_PINYIN","拼音","Pinyin"
"ATTRIBUTE_VOCABULARY","词汇","Vocabulary"
"ATTRIBUTE_CULTURE","文化","Culture"
"STATUS_ACTED","已行动","Acted"
"STATUS_READY","可行动","Ready"
"PASSIVE_PINYIN","全员生命与伤害卡效果 +20%，可叠加","Team HP and damage-card effects +20%, stackable"
"PASSIVE_VOCABULARY","错题补偿概率 +25%，可叠加","Wrong-answer compensation chance +25%, stackable"
"PASSIVE_CULTURE","AP 增长 +0.25，可叠加","AP gain +0.25, stackable"
"PASSIVE_NONE","暂无","None"
"INFO_NO_SKILL","暂无","None"
"QUESTION_HEADER_FORMAT","[%s / %s]\n%s","[%s / %s]\n%s"
"COMMON_CANCEL","取消","Cancel"
"CARD_SKILL_COST","消耗 AP %.0f","%.0f AP"
"CARD_SKILL_BASE_EFFECT","基础技能效果","Base effect"
"CARD_GENERAL_TEAM_GAIN","全队获得","Team"
"CARD_AP_FORMAT","+%.1f AP","+%.1f AP"
"CARD_ATTACK_DAMAGE","造成 %d 伤害","%d damage"
"CARD_ANSWER_ENHANCE","答对强化","Correct: bonus"
"CARD_DEFENSE_REDUCTION","获得 %.0f%% 减伤","%.0f%% guard"

"CHARACTER_BUDDING","βudding","βudding"
"CHARACTER_RABBIT","天才兔","Rabbert Einstein"
"CHARACTER_LAWILIM","Lawilim","Lawilim"

"CHARACTER_BUDDING_DESCRIPTION","βudding\n属性：文化\n被动：AP 增长 +0.25","βudding\nType: Culture\nPassive: AP gain +0.25"
"CHARACTER_RABBIT_DESCRIPTION","天才兔\n属性：拼音\n被动：全员生命与伤害卡效果 +20%","Rabbert Einstein\nType: Pinyin\nPassive: Team HP and damage-card effects +20%"
"CHARACTER_LAWILIM_DESCRIPTION","Lawilim\n属性：词汇\n被动：错题补偿概率 +25%","Lawilim\nType: Vocabulary\nPassive: Wrong-answer compensation chance +25%"

